participant_id,onboarding_training_format,learning_effectiveness,onboarding_confidence,training_burden
CLE_1_001,Reading_Materials,4.94,4.4,5.47
CLE_1_002,Reading_Materials,4.27,3.77,5.07
CLE_1_003,Reading_Materials,3.44,3.67,5.14
CLE_1_004,Reading_Materials,3.76,4.06,5.88
CLE_1_005,Reading_Materials,4.16,4.22,5.22
CLE_1_006,Reading_Materials,2.91,3.54,6.36
CLE_1_007,Reading_Materials,3.83,4.86,6.83
CLE_1_008,Reading_Materials,4.44,3.9,4.45
CLE_1_009,Reading_Materials,4.12,2.95,5.57
CLE_1_010,Reading_Materials,4.22,4.23,5.6
CLE_1_011,Reading_Materials,4.37,2.97,5.47
CLE_1_012,Reading_Materials,4.33,4.84,5.11
CLE_1_013,Reading_Materials,3.6,4.5,5.48
CLE_1_014,Reading_Materials,4.71,3.91,4.25
CLE_1_015,Reading_Materials,3.11,3.69,5.37
CLE_1_016,Reading_Materials,4.51,3.84,5.82
CLE_1_017,Reading_Materials,2.32,3.67,5.42
CLE_1_018,Reading_Materials,4.39,3.87,5.01
CLE_1_019,Reading_Materials,4.69,3.95,4.19
CLE_1_020,Reading_Materials,2.88,3.25,5.65
CLE_1_021,Reading_Materials,3.58,2.41,5.57
CLE_1_022,Reading_Materials,4.39,3.58,5.07
CLE_1_023,Reading_Materials,3.36,2.64,6.65
CLE_1_024,Reading_Materials,3.33,4.22,5.15
CLE_1_025,Reading_Materials,4.5,3.3,4.53
CLE_1_026,Reading_Materials,3.67,4.69,4.6
CLE_1_027,Reading_Materials,2.48,4.31,4.96
CLE_1_028,Reading_Materials,4.47,3.16,5.45
CLE_1_029,Reading_Materials,3.88,4.62,4.11
CLE_1_030,Reading_Materials,3.62,5.35,5.33
CLE_1_031,Reading_Materials,3.98,3.36,4.47
CLE_1_032,Reading_Materials,3.82,3.25,5.36
CLE_1_033,Reading_Materials,3.25,4.67,4.94
CLE_1_034,Reading_Materials,3.98,2.89,4.15
CLE_1_035,Reading_Materials,3.49,3.97,5.74
CLE_1_036,Reading_Materials,3.69,3.04,5.07
CLE_1_037,Reading_Materials,3.83,3.45,6.38
CLE_1_038,Reading_Materials,4.34,3.02,5.41
CLE_1_039,Reading_Materials,4.14,3.43,3.35
CLE_1_040,Reading_Materials,2.58,3.94,4.0
CLE_1_041,Reading_Materials,3.29,5.38,5.18
CLE_1_042,Reading_Materials,4.1,3.75,3.57
