participant_id,knowledge_search_interface,search_efficiency,decision_confidence,perceived_effort
NON_1_001,Standard_Search,3.45,4.77,5.93
NON_1_002,Standard_Search,5.14,3.42,4.73
NON_1_003,Standard_Search,4.31,4.66,4.95
NON_1_004,Standard_Search,3.94,4.09,5.24
NON_1_005,Standard_Search,4.97,4.5,5.6
NON_1_006,Standard_Search,3.27,5.16,4.54
NON_1_007,Standard_Search,4.34,3.75,5.14
NON_1_008,Standard_Search,4.0,6.03,4.05
NON_1_009,Standard_Search,4.98,4.41,4.74
NON_1_010,Standard_Search,4.23,3.48,4.39
NON_1_011,Standard_Search,5.03,4.22,5.02
NON_1_012,Standard_Search,3.83,4.5,4.75
NON_1_013,Standard_Search,3.86,4.14,4.06
NON_1_014,Standard_Search,5.49,5.29,5.12
NON_1_015,Standard_Search,5.9,2.63,4.41
NON_1_016,Standard_Search,3.94,4.18,4.95
NON_1_017,Standard_Search,3.83,4.29,4.36
NON_1_018,Standard_Search,3.87,3.75,5.39
NON_1_019,Standard_Search,4.2,4.23,5.04
NON_1_020,Standard_Search,2.97,3.09,3.99
NON_1_021,Standard_Search,4.1,3.99,3.83
NON_1_022,Standard_Search,3.03,3.24,4.36
NON_1_023,Standard_Search,5.23,3.74,5.53
NON_1_024,Standard_Search,3.27,3.64,4.58
NON_1_025,Standard_Search,4.53,5.06,3.75
NON_1_026,Standard_Search,4.43,4.2,4.29
NON_1_027,Standard_Search,3.54,3.66,5.81
NON_1_028,Standard_Search,4.13,4.77,2.11
NON_1_029,Standard_Search,4.02,4.71,4.15
NON_1_030,Standard_Search,5.04,3.84,3.86
NON_1_031,Standard_Search,4.06,5.09,5.11
NON_1_032,Standard_Search,3.21,4.39,3.37
NON_1_033,Standard_Search,4.78,2.28,4.47
NON_1_034,Standard_Search,4.13,3.79,4.61
NON_1_035,Standard_Search,4.76,3.92,2.98
NON_1_036,Standard_Search,4.38,2.73,3.88
NON_1_037,Standard_Search,4.25,4.34,4.51
