participant_id,service_support_tool,resolution_efficiency,service_confidence,cognitive_load
UNE_1_001,No_Tool,3.58,3.58,5.78
UNE_1_002,No_Tool,3.72,3.78,5.15
UNE_1_003,No_Tool,3.39,3.85,5.38
UNE_1_004,No_Tool,3.94,3.95,5.85
UNE_1_005,No_Tool,4.1,4.1,4.83
UNE_1_006,No_Tool,3.76,3.63,5.23
UNE_1_007,No_Tool,4.1,3.36,5.02
UNE_1_008,No_Tool,4.2,3.4,5.39
UNE_1_009,No_Tool,4.02,4.05,5.24
UNE_1_010,No_Tool,3.4,3.51,5.6
UNE_1_011,No_Tool,4.6,3.74,5.73
UNE_1_012,No_Tool,4.38,3.63,5.62
UNE_1_013,No_Tool,3.89,3.55,5.3
UNE_1_014,No_Tool,3.52,3.36,5.49
UNE_1_015,No_Tool,4.19,3.73,5.26
UNE_1_016,No_Tool,3.78,4.1,5.11
UNE_1_017,No_Tool,3.74,4.13,4.78
UNE_1_018,No_Tool,4.27,4.37,5.17
UNE_1_019,No_Tool,4.22,4.06,5.56
UNE_1_020,No_Tool,3.84,4.41,5.41
UNE_1_021,No_Tool,3.7,4.26,4.79
UNE_1_022,No_Tool,5.05,3.39,4.93
UNE_1_023,No_Tool,3.71,4.06,5.73
UNE_1_024,No_Tool,3.81,4.43,4.71
UNE_1_025,No_Tool,3.78,3.87,5.53
UNE_1_026,No_Tool,3.88,3.6,5.17
UNE_1_027,No_Tool,4.21,3.86,5.49
UNE_1_028,No_Tool,4.16,3.8,5.11
UNE_1_029,No_Tool,3.39,3.73,5.3
UNE_1_030,No_Tool,4.26,3.84,5.52
UNE_1_031,No_Tool,3.94,3.52,5.46
UNE_1_032,No_Tool,4.53,3.98,5.37
UNE_1_033,No_Tool,4.44,3.67,5.26
UNE_1_034,No_Tool,3.58,3.86,5.44
UNE_1_035,No_Tool,3.96,4.15,5.08
UNE_1_036,No_Tool,4.04,4.4,5.23
UNE_1_037,No_Tool,3.78,4.25,5.34
UNE_1_038,No_Tool,3.63,4.11,4.91
UNE_1_039,No_Tool,3.67,3.99,5.8
UNE_1_040,No_Tool,3.38,3.73,5.57
UNE_1_041,No_Tool,3.97,4.37,5.03
UNE_1_042,No_Tool,3.05,3.87,4.44
UNE_1_043,No_Tool,3.83,3.3,5.06
UNE_1_044,No_Tool,3.64,3.69,5.94
UNE_1_045,No_Tool,3.79,3.46,5.4
UNE_1_046,No_Tool,3.58,3.45,5.39
UNE_1_047,No_Tool,4.52,4.07,5.05
UNE_1_048,No_Tool,3.56,3.94,5.69
UNE_1_049,No_Tool,4.31,4.12,5.46
UNE_1_050,No_Tool,3.96,4.02,5.27
UNE_2_001,Knowledge_Base,4.49,4.64,5.1
UNE_2_002,Knowledge_Base,4.58,4.15,4.3
UNE_2_003,Knowledge_Base,4.31,4.43,4.0
UNE_2_004,Knowledge_Base,5.16,4.4,5.06
UNE_2_005,Knowledge_Base,3.73,4.83,4.3
UNE_2_006,Knowledge_Base,4.97,4.31,5.45
UNE_2_007,Knowledge_Base,3.88,4.48,4.89
UNE_2_008,Knowledge_Base,3.33,4.48,4.24
UNE_2_009,Knowledge_Base,4.81,4.15,5.25
UNE_2_010,Knowledge_Base,4.65,4.76,4.89
UNE_2_011,Knowledge_Base,4.31,3.49,4.37
UNE_2_012,Knowledge_Base,4.17,4.41,4.13
UNE_2_013,Knowledge_Base,4.28,3.98,4.96
UNE_2_014,Knowledge_Base,3.71,4.48,5.64
UNE_2_015,Knowledge_Base,4.58,4.21,4.87
UNE_2_016,Knowledge_Base,3.75,4.07,4.16
UNE_2_017,Knowledge_Base,3.78,4.07,4.23
UNE_2_018,Knowledge_Base,4.37,4.3,3.75
